mention_text
Marion Lake
restricted shallow marine basin
Dharwar craton South India
Langenberg
basin Delta
Burundi Stromatolite
Red Sea Coast Saudi Arabia
inna Australia
Ottawa Embayment eastern Ontario
Brachina Gorge A
North Greenland See Surlyk
United States southeastern California
attributing the Lake Untersee
The Democratic Republic of the Congo
Franceville Gro Gabon
western Taurus Mountains in Turkey
Lake Tanganyika
Wernecke and Hart River
northern Perth Basin
Kimberley region
