mention_text
$Marion Lake$
restricted shallow marine basin
%Dharwar% craton %South India%
Langenberg
basin Delta
%Burundi% Stromatolite
Red Sea Coast %Saudi Arabia%
inna %Australia%
%Ottawa% Embayment eastern %Ontario%
Brachina Gorge A
$North Greenland$ See %Surlyk%
%United States% southeastern %California%
attributing $the Lake Untersee$
%The Democratic Republic of the Congo%
Franceville Gro Gabon
$western Taurus Mountains$ in %Turkey%
$Lake Tanganyika$
Wernecke and Hart River
$northern Perth Basin$
Kimberley region
Thackeray Z  Cape Morgan
Penibetic Betic Cordillera Southern Spain
western $Andros Island$
%Shahmirzad% area
Katibili Bay Zaire Neothauma
%New Mexico% %USA%
Flagpole Landing
%Berlin% %Germany%
$Northern Urals$ $Ilych River$
%Christchurch% %New Zealand% The Waterways
Little DeGrey Spring
$Northern Territories$ %Australia%
Ma'anshan and $the Jiangnan Slope$
paleoflow Logan
%AUSTRALIA% Downloaded
Groups %Canada%
%Brazil% Cave Coordinates Area Reference Gruta
Turkana
coastal Lagoa Vermelha %Brazil%
%Tervola% region
Exuma Sound %Bahamas%
Ordos region
%Nanjing% People 's Republic of China Nanjing Institute
intertropical $Africa$
Kawashita
Geowissenschaften Universitat Bremen Bremen Germany Geological and Environmental Sciences Department California State University-Chico Chico %California%
Geowissenschaften Universitat Bremen %Bremen% Germany Department
Fortescue Group Australia
Dupraz
pool Pozas Azules
British Columbia %Canada%
%Nederlands%
north $Eurasia$
in situ %Charophyta%
Ogiat Betina
Hamelin Pool Shark Bay %Australia%
%China% Geol
CA activity facilitated mineralization KUPRIYANOVA
Warrawoona Gro.Buick
$Gulf of Aqaba$ %Egypt%
Dead Sea
hypersaline Europe Ciocaia %Romania% Thermal
Phrygan
Ziyun Guizhou
Shiea
Montpellier University Montpellier France J Bertrand-Sarfati Institute
$Bucegi Mountains$ Southern Carpathians Roamnia
phyla Crenarchaeota Euryarchaeota and %Korarchaeota%
T'%Kuip Hills% area
Stocking Island
western $Orobic Alps$ northern %Italy%
northeastern %Mexico% : in %Bertrand%
%Idaho%
Tottori Mycological Institute Tokyo Press %Tokyo%
Nizhnyaya Tunguska River
Lesser $Himalayas India$
Jena Germany
Enorama Shale Lemon
M. Perissinotto R. Miranda
Gunflint Bitter Springs Min
Belperio
s Logan
$Horseshoe Harbor$ The
Moffett Field CA USA
$Kilohigok Basin$ $Northwest Territories$
%North Carolina% %USA%
intracraUmic basin R
MESCAL LIMESTONE %ARIZONA% Figure
Hart River
